Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene type,Gene name 115
ENSGALG00010019465,,3,1056857,1059031,lncRNA,
ENSGALG00010019466,,3,1060682,1062456,lncRNA,
ENSGALG00010019467,,3,1201561,1205000,lncRNA,
ENSGALG00010019468,,14,13989669,13999350,lncRNA,
ENSGALG00010019469,,3,1485128,1493140,lncRNA,
ENSGALG00010019470,TGFB2,3,19040846,19104256,protein_coding,TGFB2
ENSGALG00010019471,NUBP1,14,9127231,9200625,protein_coding,NUBP1
ENSGALG00010019472,CAPN3,5,25170021,25194170,protein_coding,CAPN3
ENSGALG00010019473,OXTR,12,19462200,19465913,protein_coding,OXTR
ENSGALG00010019474,TMEM163,7,29957367,30039832,protein_coding,TMEM163
ENSGALG00010019475,,3,1534123,1535966,lncRNA,
ENSGALG00010019476,,4,3651025,3662417,lncRNA,
ENSGALG00010019477,NCAPH,22,3246587,3256367,protein_coding,NCAPH
ENSGALG00010019478,,3,1831184,1862649,lncRNA,
ENSGALG00010019479,,3,2051209,2053150,lncRNA,
ENSGALG00010019480,,14,14390896,14392814,lncRNA,
ENSGALG00010019481,PYGL,5,57728002,57736987,protein_coding,PYGL
ENSGALG00010019482,,3,2484521,2492243,lncRNA,
ENSGALG00010019483,SCUBE2,5,9158744,9193924,protein_coding,SCUBE2
ENSGALG00010019484,,3,2859677,2862388,lncRNA,
ENSGALG00010019485,,4,3681256,3685862,lncRNA,
ENSGALG00010019486,,14,14632265,14665441,lncRNA,
ENSGALG00010019487,,3,2864912,2870490,lncRNA,
ENSGALG00010019488,TEKT5,14,9134357,9155357,protein_coding,TEKT5
ENSGALG00010019489,,3,3006021,3011496,lncRNA,
ENSGALG00010019490,,4,3796598,3801029,lncRNA,
ENSGALG00010019491,,4,3974374,3976556,lncRNA,
ENSGALG00010019492,,14,14727890,14767013,lncRNA,
ENSGALG00010019493,,3,3027591,3042972,lncRNA,
ENSGALG00010019494,,4,3978016,3982473,lncRNA,
ENSGALG00010019495,EMP2,14,9201627,9223481,protein_coding,EMP2
ENSGALG00010019496,,4,4000754,4002134,lncRNA,
ENSGALG00010019497,,4,4006045,4007251,lncRNA,
ENSGALG00010019498,,10,12314520,12363059,protein_coding,
ENSGALG00010019499,,14,15252715,15277594,lncRNA,
ENSGALG00010019500,,4,4007392,4013472,lncRNA,
ENSGALG00010019501,,4,4007392,4009861,lncRNA,
ENSGALG00010019502,,4,4016093,4022144,lncRNA,
ENSGALG00010019503,,14,10730548,10850362,lncRNA,
ENSGALG00010019504,,4,4085683,4088594,lncRNA,
ENSGALG00010019505,,4,4225669,4242625,lncRNA,
ENSGALG00010019506,,3,3107366,3113158,lncRNA,
ENSGALG00010019507,,14,10856707,10864600,lncRNA,
ENSGALG00010019508,,4,4649310,4654229,lncRNA,
ENSGALG00010019509,ZNF106,5,25199602,25232318,protein_coding,ZNF106
ENSGALG00010019510,,14,11619502,11712695,lncRNA,
ENSGALG00010019511,,4,4667091,4669304,lncRNA,
ENSGALG00010019512,,4,4697638,4699464,lncRNA,
ENSGALG00010019513,,4,4919013,4922921,lncRNA,
ENSGALG00010019514,,14,11735363,11798564,lncRNA,
ENSGALG00010019515,NENF,3,21615788,21622207,protein_coding,NENF
ENSGALG00010019516,,3,3116162,3124211,lncRNA,
ENSGALG00010019517,,4,6166922,6172800,lncRNA,
ENSGALG00010019518,,14,12153176,12165300,lncRNA,
ENSGALG00010019519,,4,6353472,6360569,lncRNA,
ENSGALG00010019520,CD6,5,243589,247097,protein_coding,CD6
ENSGALG00010019521,,3,3189989,3194135,lncRNA,
ENSGALG00010019522,,4,6973729,7342542,lncRNA,
ENSGALG00010019523,,3,3370707,3373920,lncRNA,
ENSGALG00010019524,HHIPL2,3,17761366,17777891,protein_coding,HHIPL2
ENSGALG00010019525,,4,7221912,7225662,lncRNA,
ENSGALG00010019526,,14,12579214,12589316,lncRNA,
ENSGALG00010019527,,3,3407257,3411005,lncRNA,
ENSGALG00010019528,,4,7565115,7568384,lncRNA,
ENSGALG00010019529,SNAP23,5,25232918,25250091,protein_coding,SNAP23
ENSGALG00010019530,,4,7606878,7620067,lncRNA,
ENSGALG00010019531,,4,7634627,7638502,lncRNA,
ENSGALG00010019532,,3,3487500,3494396,lncRNA,
ENSGALG00010019533,,3,3497671,3499209,lncRNA,
ENSGALG00010019534,PPP2R5A,3,21642747,21682896,protein_coding,PPP2R5A
ENSGALG00010019535,,4,8007882,8021955,lncRNA,
ENSGALG00010019536,,3,3522074,3524194,lncRNA,
ENSGALG00010019537,,4,8116824,8145034,lncRNA,
ENSGALG00010019538,,3,3530609,3542674,lncRNA,
ENSGALG00010019539,,4,8499183,8502369,lncRNA,
ENSGALG00010019540,UNC5D,22,1987770,2077046,protein_coding,UNC5D
ENSGALG00010019541,,14,12656297,12662638,lncRNA,
ENSGALG00010019542,,4,8924282,8928959,lncRNA,
ENSGALG00010019543,,3,3568644,3577017,lncRNA,
ENSGALG00010019544,,4,8929554,8931379,lncRNA,
ENSGALG00010019545,,3,3584840,3586790,lncRNA,
ENSGALG00010019546,HSD17B12,5,21111153,21241431,protein_coding,HSD17B12
ENSGALG00010019547,,4,8981613,8985035,lncRNA,
ENSGALG00010019548,,3,3631008,3632957,lncRNA,
ENSGALG00010019549,gga-mir-12225,14,15192241,15192301,miRNA,gga-mir-12225
ENSGALG00010019550,ACMSD,7,30038558,30077313,protein_coding,ACMSD
ENSGALG00010019551,,3,3683747,3688212,lncRNA,
ENSGALG00010019552,,4,8990351,8993997,lncRNA,
ENSGALG00010019553,,3,3692170,3694907,lncRNA,
ENSGALG00010019554,gga-mir-1715,14,14282908,14283009,miRNA,gga-mir-1715
ENSGALG00010019555,,4,9056841,9058135,lncRNA,
ENSGALG00010019556,,3,3708493,3711558,lncRNA,
ENSGALG00010019557,TRIM9,5,57738330,57769897,protein_coding,TRIM9
ENSGALG00010019558,gga-mir-1564,14,12270128,12270198,miRNA,gga-mir-1564
ENSGALG00010019559,,4,9101476,9103557,lncRNA,
ENSGALG00010019560,,3,3713203,3721942,lncRNA,
ENSGALG00010019561,,4,9354688,9357813,lncRNA,
ENSGALG00010019562,,3,3843571,3846738,lncRNA,
ENSGALG00010019563,,4,9361949,9365984,lncRNA,
ENSGALG00010019564,,3,4121509,4124229,lncRNA,
ENSGALG00010019565,gga-mir-1588,14,14123090,14123191,miRNA,gga-mir-1588
ENSGALG00010019566,,4,9419794,9423469,lncRNA,
ENSGALG00010019567,,3,4133385,4147126,lncRNA,
ENSGALG00010019568,gga-mir-7471,14,14403987,14404046,miRNA,gga-mir-7471
ENSGALG00010019569,,4,9462832,9465549,lncRNA,
ENSGALG00010019570,,3,4291910,4293710,lncRNA,
ENSGALG00010019571,,3,5808295,5817310,lncRNA,
ENSGALG00010019572,NFKBIE,3,29941689,29949580,protein_coding,NFKBIE
ENSGALG00010019573,gga-mir-6643,14,13156430,13156539,miRNA,gga-mir-6643
ENSGALG00010019574,,4,9485580,9486821,lncRNA,
ENSGALG00010019575,,3,5862614,5873372,lncRNA,
ENSGALG00010019576,,4,9489193,9490826,lncRNA,
ENSGALG00010019577,MXD1,22,3399491,3407184,protein_coding,MXD1
ENSGALG00010019578,,4,9891710,9894182,lncRNA,
ENSGALG00010019579,,4,9955214,9964670,lncRNA,
ENSGALG00010019580,CD5,5,247469,252707,protein_coding,CD5
ENSGALG00010019581,SLC35B2,3,29949422,29957709,protein_coding,SLC35B2
ENSGALG00010019582,,3,6168938,6237450,lncRNA,
ENSGALG00010019583,,4,87540,104409,lncRNA,
ENSGALG00010019584,RAD18,12,19478290,19516152,protein_coding,RAD18
ENSGALG00010019585,PDE1C,2,48046478,48398399,protein_coding,PDE1C
ENSGALG00010019586,GLYR1,14,14482620,14509153,protein_coding,GLYR1
ENSGALG00010019587,CCNT2,7,30077279,30100570,protein_coding,CCNT2
ENSGALG00010019588,CHMP7,22,1311928,1320268,protein_coding,CHMP7
ENSGALG00010019589,,4,188114,199911,lncRNA,
ENSGALG00010019590,,3,6225471,6228546,lncRNA,
ENSGALG00010019591,HSP90AB1,3,29961061,29967272,protein_coding,HSP90AB1
ENSGALG00010019592,ALKBH3,5,21182397,21198808,protein_coding,ALKBH3
ENSGALG00010019593,,3,6282348,6738964,lncRNA,
ENSGALG00010019594,TMX1,5,57785127,57791685,protein_coding,TMX1
ENSGALG00010019595,GRIN2A,14,9223827,9421247,protein_coding,GRIN2A
ENSGALG00010019596,,4,285239,294308,lncRNA,
ENSGALG00010019597,,3,7424495,7428053,lncRNA,
ENSGALG00010019598,KCNAB2,21,660859,681452,protein_coding,KCNAB2
ENSGALG00010019599,,3,7455811,7456916,lncRNA,
ENSGALG00010019600,MAP3K19,7,30099427,30120332,protein_coding,MAP3K19
ENSGALG00010019601,,4,309167,314511,lncRNA,
ENSGALG00010019602,SLC29A1,3,29967376,29984904,protein_coding,SLC29A1
ENSGALG00010019603,,3,7923845,7926699,lncRNA,
ENSGALG00010019604,,4,359680,400867,lncRNA,
ENSGALG00010019605,,3,8293773,8303390,lncRNA,
ENSGALG00010019606,,3,8295602,8298388,lncRNA,
ENSGALG00010019607,,3,8304753,8306980,lncRNA,
ENSGALG00010019608,,3,8727890,8734129,lncRNA,
ENSGALG00010019609,,4,1101896,1112373,lncRNA,
ENSGALG00010019610,CORO7,14,12704532,12740006,protein_coding,CORO7
ENSGALG00010019611,,3,8877564,8883617,lncRNA,
ENSGALG00010019612,,4,1383567,1388884,lncRNA,
ENSGALG00010019613,FRMD6,5,57814865,57828885,protein_coding,FRMD6
ENSGALG00010019614,MICALL2,14,2531144,2554643,protein_coding,MICALL2
ENSGALG00010019615,,4,1418562,1424716,lncRNA,
ENSGALG00010019616,,3,8909754,8949686,lncRNA,
ENSGALG00010019617,ANO3,5,3411232,3584859,protein_coding,ANO3
ENSGALG00010019618,NPHP4,21,681476,702551,protein_coding,NPHP4
ENSGALG00010019619,,4,1439391,1459017,lncRNA,
ENSGALG00010019620,,3,9033065,9038495,lncRNA,
ENSGALG00010019621,,3,29991982,30006977,protein_coding,
ENSGALG00010019622,C2orf42,22,3404839,3414790,protein_coding,C2orf42
ENSGALG00010019623,,3,9061571,9066678,lncRNA,
ENSGALG00010019624,SRGAP3,12,19516714,19584828,protein_coding,SRGAP3
ENSGALG00010019625,INTS1,14,2563594,2590955,protein_coding,INTS1
ENSGALG00010019626,,4,4068420,4087380,lncRNA,
ENSGALG00010019627,,3,9068825,9070371,lncRNA,
ENSGALG00010019628,,3,9075510,9093006,lncRNA,
ENSGALG00010019629,,3,9084286,9096539,lncRNA,
ENSGALG00010019630,AJAP1,21,794810,832365,protein_coding,AJAP1
ENSGALG00010019631,,4,2504352,2579247,lncRNA,
ENSGALG00010019632,,3,9871189,9873341,lncRNA,
ENSGALG00010019633,,3,9877354,9892461,lncRNA,
ENSGALG00010019634,GNG2,5,57832568,57846392,protein_coding,GNG2
ENSGALG00010019635,LRRC57,5,25240197,25257252,protein_coding,LRRC57
ENSGALG00010019636,,3,9883943,9886737,lncRNA,
ENSGALG00010019637,,3,9895804,9897559,lncRNA,
ENSGALG00010019638,,4,3046535,3094609,lncRNA,
ENSGALG00010019639,,3,9907374,9912631,lncRNA,
ENSGALG00010019640,MGRN1,14,12355215,12403156,protein_coding,MGRN1
ENSGALG00010019641,CAPN11,3,30010365,30022804,protein_coding,CAPN11
ENSGALG00010019642,,3,9928372,9941691,lncRNA,
ENSGALG00010019643,RAB3GAP1,7,30119344,30139401,protein_coding,RAB3GAP1
ENSGALG00010019644,,3,404239,470389,lncRNA,
ENSGALG00010019645,,14,2591350,2601163,protein_coding,GAA2
ENSGALG00010019646,VPS37C,5,252206,256019,protein_coding,VPS37C
ENSGALG00010019647,,4,3078761,3099148,lncRNA,
ENSGALG00010019648,PRDM16,21,1030521,1318643,protein_coding,PRDM16
ENSGALG00010019649,TMEM63B,3,30023564,30062179,protein_coding,TMEM63B
ENSGALG00010019650,KBTBD8,12,14787160,14809417,protein_coding,KBTBD8
ENSGALG00010019651,,3,392124,440941,lncRNA,
ENSGALG00010019652,TNFRSF10B,22,1325162,1331753,protein_coding,TNFRSF10B
ENSGALG00010019653,,4,3436981,3439686,lncRNA,
ENSGALG00010019654,,3,446324,468910,lncRNA,
ENSGALG00010019655,RTRAF,5,57848656,57862000,protein_coding,RTRAF
ENSGALG00010019656,,4,3706015,3713523,lncRNA,
ENSGALG00010019657,PPP1R17,2,48403511,48423208,protein_coding,PPP1R17
ENSGALG00010019658,,3,539367,542229,lncRNA,
ENSGALG00010019659,MRPL14,3,30062238,30071818,protein_coding,MRPL14
ENSGALG00010019660,,21,1253294,1358220,protein_coding,
ENSGALG00010019661,,4,3927182,3930394,lncRNA,
ENSGALG00010019662,,3,545614,614096,lncRNA,
ENSGALG00010019663,,4,3929099,3948345,lncRNA,
ENSGALG00010019664,,3,550307,643533,lncRNA,
ENSGALG00010019665,,4,3941795,3947754,lncRNA,
ENSGALG00010019666,TTC34,21,1358364,1370455,protein_coding,TTC34
ENSGALG00010019667,ITPRID1,2,48448278,48501560,protein_coding,CCDC129
ENSGALG00010019668,,3,1072119,1086742,lncRNA,
ENSGALG00010019669,,4,4225666,4241405,lncRNA,
ENSGALG00010019670,,5,21234364,21258207,protein_coding,ACCS
ENSGALG00010019671,,3,1082255,1505931,lncRNA,
ENSGALG00010019672,,4,4413561,4496100,lncRNA,
ENSGALG00010019673,NID2,5,57861576,57873536,protein_coding,NID2
ENSGALG00010019674,,3,1449071,1461431,lncRNA,
ENSGALG00010019675,MAFK,14,2602124,2615791,protein_coding,MAFK
ENSGALG00010019676,NEUROD6,2,48531211,48559079,protein_coding,NEUROD6
ENSGALG00010019677,,3,1500277,1587604,lncRNA,
ENSGALG00010019678,,4,4471975,4502625,lncRNA,
ENSGALG00010019679,RHOBTB2,22,1331550,1348245,protein_coding,RHOBTB2
ENSGALG00010019680,CCDC34,5,3581231,3833306,protein_coding,CCDC34
ENSGALG00010019681,,3,1617406,1661866,lncRNA,
ENSGALG00010019682,TMEM158,2,42943136,42948701,protein_coding,TMEM158
ENSGALG00010019683,TMEM184A,14,2617667,2625340,protein_coding,TMEM184A
ENSGALG00010019684,PIGQ,14,13506999,13540128,protein_coding,PIGQ
ENSGALG00010019685,,4,4507173,4519749,lncRNA,
ENSGALG00010019686,,3,1547555,1556841,lncRNA,
ENSGALG00010019687,,3,1618967,1629670,lncRNA,
ENSGALG00010019688,OTX2,5,55389749,55396769,protein_coding,OTX2
ENSGALG00010019689,,4,4520920,4547365,lncRNA,
ENSGALG00010019690,,14,2626841,2629924,protein_coding,
ENSGALG00010019691,,2,45042973,45043341,protein_coding,
ENSGALG00010019692,MMEL1,21,1376648,1404327,protein_coding,MMEL1
ENSGALG00010019693,HAUS2,5,25256834,25261968,protein_coding,HAUS2
ENSGALG00010019694,,4,4558581,4703861,lncRNA,
ENSGALG00010019695,PGA5,5,259861,262915,protein_coding,PGA5
ENSGALG00010019696,,12,14814667,14842275,protein_coding,
ENSGALG00010019697,EIF4EBP1,22,2418890,2423567,protein_coding,EIF4EBP1
ENSGALG00010019698,,5,263544,266476,protein_coding,
ENSGALG00010019699,,4,5236908,5242184,lncRNA,
ENSGALG00010019700,,21,1407808,1409948,protein_coding,HES5B
ENSGALG00010019701,,2,47421183,47421785,protein_coding,FANCD2OS
ENSGALG00010019702,,4,5247059,5310778,lncRNA,
ENSGALG00010019703,,2,40394057,40400648,lncRNA,
ENSGALG00010019704,,2,40512665,40515678,lncRNA,
ENSGALG00010019705,,3,1991702,2004613,lncRNA,
ENSGALG00010019706,NPRL3,14,12064765,12099268,protein_coding,NPRL3
ENSGALG00010019707,SLC5A12,5,3592012,3608287,protein_coding,SLC5A12
ENSGALG00010019708,,2,40514171,40515476,lncRNA,
ENSGALG00010019709,,3,1992638,2075774,lncRNA,
ENSGALG00010019710,,2,40622659,40633094,lncRNA,
ENSGALG00010019711,,4,6388228,6517327,lncRNA,
ENSGALG00010019712,,3,2484503,2492916,lncRNA,
ENSGALG00010019713,NUDT14,5,51719876,51771293,protein_coding,NUDT14
ENSGALG00010019714,,2,40638936,40640002,lncRNA,
ENSGALG00010019715,,2,40641023,40644549,lncRNA,
ENSGALG00010019716,VEGFA,3,30342830,30364701,protein_coding,VEGFA
ENSGALG00010019717,ZRANB3,7,30120900,30177246,protein_coding,ZRANB3
ENSGALG00010019718,,3,2514792,2531238,lncRNA,
ENSGALG00010019719,,2,40692332,40693792,lncRNA,
ENSGALG00010019720,,4,6512053,6515037,lncRNA,
ENSGALG00010019721,,2,40696737,40697934,lncRNA,
ENSGALG00010019722,,4,5308227,5486114,lncRNA,
ENSGALG00010019723,,2,41169912,41173684,lncRNA,
ENSGALG00010019724,HES5,21,1418661,1427241,protein_coding,HES5A
ENSGALG00010019725,,2,41175777,41177520,lncRNA,
ENSGALG00010019726,PEBP4,22,1340709,1405931,protein_coding,PEBP4
ENSGALG00010019727,,2,41235273,41237644,lncRNA,
ENSGALG00010019728,,5,54432988,54434245,protein_coding,
ENSGALG00010019729,,3,2656897,2672276,lncRNA,
ENSGALG00010019730,,2,41774759,41780417,lncRNA,
ENSGALG00010019731,PANK4,21,1428005,1450136,protein_coding,PANK4
ENSGALG00010019732,HBA1,14,12117174,12119420,protein_coding,HBA1
ENSGALG00010019733,,3,2975867,2996806,lncRNA,
ENSGALG00010019734,,2,41778651,41781744,lncRNA,
ENSGALG00010019735,,5,25264079,25362278,protein_coding,STARD9
ENSGALG00010019736,,2,42080781,42087736,lncRNA,
ENSGALG00010019737,,2,42309161,42310387,lncRNA,
ENSGALG00010019738,ADRA2A,6,27024398,27027983,protein_coding,ADRA2A
ENSGALG00010019739,,4,5380646,5570675,lncRNA,
ENSGALG00010019740,,2,42655077,42658152,lncRNA,
ENSGALG00010019741,,3,2994871,3007851,lncRNA,
ENSGALG00010019742,,2,42964026,42967745,lncRNA,
ENSGALG00010019743,KCNU1,22,2133985,2201543,protein_coding,KCNU1
ENSGALG00010019744,KBP,21,1447940,1458991,protein_coding,KBP
ENSGALG00010019745,,2,42998447,42999785,lncRNA,
ENSGALG00010019746,,2,43190310,43191660,lncRNA,
ENSGALG00010019747,,2,43201702,43205518,lncRNA,
ENSGALG00010019748,,5,54472698,54475001,protein_coding,
ENSGALG00010019749,,4,5464847,5516307,lncRNA,
ENSGALG00010019750,,2,43227832,43266306,lncRNA,
ENSGALG00010019751,,3,3106397,3112312,lncRNA,
ENSGALG00010019752,GPAM,6,27408850,27455909,protein_coding,GPAM
ENSGALG00010019753,,2,43279331,43280461,lncRNA,
ENSGALG00010019754,,2,43335925,43355941,lncRNA,
ENSGALG00010019755,,3,3526304,3530694,lncRNA,
ENSGALG00010019756,,2,43807729,43811446,lncRNA,
ENSGALG00010019757,,2,43811494,43820631,lncRNA,
ENSGALG00010019758,,4,5931206,5959988,lncRNA,
ENSGALG00010019759,,5,54481993,54484303,protein_coding,
ENSGALG00010019760,,2,43845606,43847230,lncRNA,
ENSGALG00010019761,MRPS18A,3,30451718,30489480,protein_coding,MRPS18A
ENSGALG00010019762,,2,43862217,43864108,lncRNA,
ENSGALG00010019763,TECTB,6,27468675,27476751,protein_coding,TECTB
ENSGALG00010019764,,3,3548546,3576854,lncRNA,
ENSGALG00010019765,,4,5998938,6035461,lncRNA,
ENSGALG00010019766,,2,44119339,44125393,lncRNA,
ENSGALG00010019767,SUCLG2,12,14923714,15025999,protein_coding,SUCLG2
ENSGALG00010019768,,2,44147334,44149388,lncRNA,
ENSGALG00010019769,,2,44255299,44256374,lncRNA,
ENSGALG00010019770,,2,44273146,44274211,lncRNA,
ENSGALG00010019771,VWCE,5,265792,271149,protein_coding,VWCE
ENSGALG00010019772,,22,3285111,3299483,protein_coding,MAT2L2
ENSGALG00010019773,,2,44329532,44334740,lncRNA,
ENSGALG00010019774,,4,6039522,6473873,lncRNA,
ENSGALG00010019775,,3,3549020,3566792,lncRNA,
ENSGALG00010019776,,5,54505903,54507160,protein_coding,
ENSGALG00010019777,,2,44408555,44409687,lncRNA,
ENSGALG00010019778,ABHD17C,10,12367860,12373737,protein_coding,ABHD17C
ENSGALG00010019779,,2,44411356,44413872,lncRNA,
ENSGALG00010019780,,2,44721447,44727056,lncRNA,
ENSGALG00010019781,,2,44721492,44725502,lncRNA,
ENSGALG00010019782,,4,6142092,6256576,lncRNA,
ENSGALG00010019783,,2,44732402,44734629,lncRNA,
ENSGALG00010019784,,3,3589367,3668241,lncRNA,
ENSGALG00010019785,ACSL5,6,27498624,27518499,protein_coding,ACSL5
ENSGALG00010019786,R3HDM1,7,30177783,30246928,protein_coding,R3HDM1
ENSGALG00010019787,,2,44787730,44850326,lncRNA,
ENSGALG00010019788,,2,44965793,44968033,lncRNA,
ENSGALG00010019789,ARNT2,10,12422664,12539180,protein_coding,ARNT2
ENSGALG00010019790,,2,44998923,45010723,lncRNA,
ENSGALG00010019791,,3,3706964,3712123,lncRNA,
ENSGALG00010019792,,2,45056356,45082300,lncRNA,
ENSGALG00010019793,,4,6971955,6994758,lncRNA,
ENSGALG00010019794,RSPH9,3,30469901,30509552,protein_coding,RSPH9
ENSGALG00010019795,,5,54515211,54516468,protein_coding,
ENSGALG00010019796,,2,45057696,45064240,lncRNA,
ENSGALG00010019797,,3,3850656,3880508,lncRNA,
ENSGALG00010019798,,4,7278161,7556688,lncRNA,
ENSGALG00010019799,DOK2,22,1550857,1556498,protein_coding,DOK2
ENSGALG00010019800,EXT2,5,21259957,21338356,protein_coding,EXT2
ENSGALG00010019801,FIBIN,5,3601767,3696934,protein_coding,FIBIN
ENSGALG00010019802,,3,4115676,4120754,lncRNA,
ENSGALG00010019803,FAH,10,12580027,12590941,protein_coding,FAH
ENSGALG00010019804,ELFN1,14,2659634,2748656,protein_coding,ELFN1
ENSGALG00010019805,,5,54525291,54526865,protein_coding,
ENSGALG00010019806,,5,54538669,54540833,protein_coding,
ENSGALG00010019807,ZDHHC6,6,27521196,27531299,protein_coding,ZDHHC6
ENSGALG00010019808,,2,45111498,45237399,lncRNA,
ENSGALG00010019809,,4,7505430,7593434,lncRNA,
ENSGALG00010019810,ZFAND6,10,12593889,12643338,protein_coding,ZFAND6
ENSGALG00010019811,UBXN4,7,30252141,30265886,protein_coding,UBXN4
ENSGALG00010019812,,3,4366968,4373751,lncRNA,
ENSGALG00010019813,EPHX1L,3,30509731,30544229,protein_coding,EPHX1L
ENSGALG00010019814,,2,45210372,45213798,lncRNA,
ENSGALG00010019815,,2,45471320,45474894,lncRNA,
ENSGALG00010019816,GPR132,5,51478906,51494686,protein_coding,GPR132
ENSGALG00010019817,,2,45580404,45597211,lncRNA,
ENSGALG00010019818,,3,4719360,4764705,lncRNA,
ENSGALG00010019819,,2,45609289,45673455,lncRNA,
ENSGALG00010019820,BBOX1,5,3711600,3749714,protein_coding,BBOX1
ENSGALG00010019821,,2,45760496,45770817,lncRNA,
ENSGALG00010019822,,4,7584884,7638059,lncRNA,
ENSGALG00010019823,LCT,7,30265257,30285317,protein_coding,LCT
ENSGALG00010019824,,2,45769976,45799529,lncRNA,
ENSGALG00010019825,BCL2A1,10,12649983,12653345,protein_coding,BCL2A1
ENSGALG00010019826,,4,7587674,7590707,lncRNA,
ENSGALG00010019827,,4,7640072,7802125,lncRNA,
ENSGALG00010019828,,2,45912218,45914093,lncRNA,
ENSGALG00010019829,,2,45922160,45925820,lncRNA,
ENSGALG00010019830,JAG2,5,51624894,51685905,protein_coding,JAG2
ENSGALG00010019831,,2,45935231,45936547,lncRNA,
ENSGALG00010019832,MAD2L1BP,3,30543253,30548054,protein_coding,MAD2L1BP
ENSGALG00010019833,MTHFS,10,12654932,12676078,protein_coding,MTHFS
ENSGALG00010019834,PLCH2,21,1462587,1544865,protein_coding,PLCH2
ENSGALG00010019835,,4,7651870,7885602,lncRNA,
ENSGALG00010019836,MINAR1,10,12763859,12778588,protein_coding,MINAR1
ENSGALG00010019837,,2,46017530,46038249,lncRNA,
ENSGALG00010019838,ALX4,5,21340582,21386292,protein_coding,ALX4
ENSGALG00010019839,,2,46147295,46148976,lncRNA,
ENSGALG00010019840,,3,5864672,5894863,lncRNA,
ENSGALG00010019841,,4,7892908,7943808,lncRNA,
ENSGALG00010019842,,2,46259556,46262133,lncRNA,
ENSGALG00010019843,MCM6,7,30286022,30298527,protein_coding,MCM6
ENSGALG00010019844,,2,46645251,46647649,lncRNA,
ENSGALG00010019845,,2,46711229,46713157,lncRNA,
ENSGALG00010019846,,5,25364084,25393472,protein_coding,CDAN1
ENSGALG00010019847,,2,46776714,46778864,lncRNA,
ENSGALG00010019848,MAD1L1,14,2760330,3080371,protein_coding,MAD1L1
ENSGALG00010019849,,4,8075200,8106691,lncRNA,
ENSGALG00010019850,,3,6025756,6354420,lncRNA,
ENSGALG00010019851,,2,46782318,46819627,lncRNA,
ENSGALG00010019852,,4,9023572,9103049,lncRNA,
ENSGALG00010019853,,2,46895824,46897828,lncRNA,
ENSGALG00010019854,CCDC14,7,26996345,27008983,protein_coding,CCDC14
ENSGALG00010019855,TTC7A,3,26617829,26795412,protein_coding,TTC7A
ENSGALG00010019856,,2,46951115,46957599,lncRNA,
ENSGALG00010019857,,3,6356040,6569492,lncRNA,
ENSGALG00010019858,,2,46973902,46975982,lncRNA,
ENSGALG00010019859,BIN3,22,1428125,1477443,protein_coding,BIN3
ENSGALG00010019860,SIX6,5,53932318,53934719,protein_coding,SIX6
ENSGALG00010019861,,2,46993391,46995468,lncRNA,
ENSGALG00010019862,,4,9047376,9099684,lncRNA,
ENSGALG00010019863,,2,47007488,47009153,lncRNA,
ENSGALG00010019864,,3,6549713,6590321,lncRNA,
ENSGALG00010019865,,5,25392409,25394750,protein_coding,
ENSGALG00010019866,,2,47081409,47085594,lncRNA,
ENSGALG00010019867,PEX11A,10,12828091,12833661,protein_coding,PEX11A
ENSGALG00010019868,,3,6600620,6627964,lncRNA,
ENSGALG00010019869,,4,9353328,9368668,lncRNA,
ENSGALG00010019870,,2,47128926,47137168,lncRNA,
ENSGALG00010019871,TAFA1,12,15084374,15321295,protein_coding,FAM19A1
ENSGALG00010019872,VTI1A,6,27531036,27783247,protein_coding,VTI1A
ENSGALG00010019873,LGR4,5,3835419,3895806,protein_coding,LGR4
ENSGALG00010019874,,3,6519955,6700664,lncRNA,
ENSGALG00010019875,PLEKHH1,5,28319337,28371192,protein_coding,PLEKHH1
ENSGALG00010019876,MRM2,14,3081092,3083341,protein_coding,MRM2
ENSGALG00010019877,,4,9870660,9886856,lncRNA,
ENSGALG00010019878,MCFD2,3,26623295,26628440,protein_coding,MCFD2
ENSGALG00010019879,,3,7399476,7454051,lncRNA,
ENSGALG00010019880,,4,9877334,10097542,lncRNA,
ENSGALG00010019881,,2,47144935,47146229,lncRNA,
ENSGALG00010019882,,4,10044911,10047822,lncRNA,
ENSGALG00010019883,,2,47417615,47419990,lncRNA,
ENSGALG00010019884,SNORD61,4,4376010,4376074,snoRNA,SNORD61
ENSGALG00010019885,,3,7473232,7499552,lncRNA,
ENSGALG00010019886,,4,4027731,4027875,snoRNA,
ENSGALG00010019887,,2,47586739,47588881,lncRNA,
ENSGALG00010019888,SNORD83,4,2078771,2078846,snoRNA,SNORD83
ENSGALG00010019889,,3,7927813,7931532,lncRNA,
ENSGALG00010019890,,4,2075234,2075480,snoRNA,
ENSGALG00010019891,PIGH,5,28372346,28379529,protein_coding,PIGH
ENSGALG00010019892,,2,47934163,47937991,lncRNA,
ENSGALG00010019893,,4,2076468,2076601,snoRNA,
ENSGALG00010019894,SNORD83,4,2076021,2076096,snoRNA,SNORD83
ENSGALG00010019895,,4,2078022,2078268,snoRNA,
ENSGALG00010019896,DDB1,5,272553,286556,protein_coding,DDB1
